date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:10	134/134	---MCZ	200	added ('OK')	text/plain	etag:W/%22b0-66aebd1e-acbb5becde4ee298;;;%22	https://enfantcheri.edu.ph/robots.txt		(from )
14:06:10	38237/38237	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jan%202025%2006:06:08%20GMT	https://enfantcheri.edu.ph/	C:/Users/Wr3D/OneDrive/Desktop/ECSCI/ECSCI/enfantcheri.edu.ph/index.html	(from )
14:06:11	23528/23528	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jan%202025%2006:06:09%20GMT	https://enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/img/students-header.png	C:/Users/Wr3D/OneDrive/Desktop/ECSCI/ECSCI/enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/img/students-header.png	(from https://enfantcheri.edu.ph/)
14:06:11	57560/57560	---MCZ	200	added ('OK')	text/css	etag:W/%22e0d8-66aebd1f-fc46d009c35f4b75;br%22	https://enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/spectre.css	C:/Users/Wr3D/OneDrive/Desktop/ECSCI/ECSCI/enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/spectre.css	(from https://enfantcheri.edu.ph/)
14:06:11	14510/14510	---MCZ	200	added ('OK')	text/css	etag:W/%2238ae-66aebd1f-abb60a412df5ea39;br%22	https://enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/style.css	C:/Users/Wr3D/OneDrive/Desktop/ECSCI/ECSCI/enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/style.css	(from https://enfantcheri.edu.ph/)
14:06:11	26054/26054	---MCZ	200	added ('OK')	text/css	etag:W/%2265c6-66aebd1f-49b22ef91bf0e230;br%22	https://enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/aos.css	C:/Users/Wr3D/OneDrive/Desktop/ECSCI/ECSCI/enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/aos.css	(from https://enfantcheri.edu.ph/)
14:06:12	27479/27479	---MCZ	200	added ('OK')	text/css	etag:W/%226b57-66aebd1f-cd37f1dcf2ac1b0b;br%22	https://enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/animsition.css	C:/Users/Wr3D/OneDrive/Desktop/ECSCI/ECSCI/enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/animsition.css	(from https://enfantcheri.edu.ph/)
14:06:12	619/619	---MCZ	200	added ('OK')	text/css	etag:W/%2226b-66aebd1f-f4835d20332fb5e9;br%22	https://enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/sidebar.css	C:/Users/Wr3D/OneDrive/Desktop/ECSCI/ECSCI/enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/sidebar.css	(from https://enfantcheri.edu.ph/)
14:06:12	4318/4318	---MCZ	200	added ('OK')	text/css	etag:W/%2210de-66aebd1f-83a4db8f32a4f242;br%22	https://enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/carousell.css	C:/Users/Wr3D/OneDrive/Desktop/ECSCI/ECSCI/enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/css/carousell.css	(from https://enfantcheri.edu.ph/)
14:06:13	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-66aebd1f-28ea5fe2018823f4;br%22	https://enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/img/favicon.ico	C:/Users/Wr3D/OneDrive/Desktop/ECSCI/ECSCI/enfantcheri.edu.ph/wp-content/themes/enfantcheri-theme/assets/img/favicon.ico	(from https://enfantcheri.edu.ph/)
